epoch,epoch_loss,split,loss,acc,sample_fn
0,1.6518102,train,1.3608372,0.5033742394983285,gumbel_soft
0,1.6518102,val,1.3556894,0.508551775422941,gumbel_soft
0,1.6518102,test,1.373981,0.4982024914304824,gumbel_soft
1,1.3270482,train,1.3045737,0.5106106854378205,gumbel_soft
1,1.3270482,val,1.3013701,0.5154303773935676,gumbel_soft
1,1.3270482,test,1.3169107,0.5063121812557478,gumbel_soft
2,1.2902923,train,1.2744755,0.5231420918208435,gumbel_soft
2,1.2902923,val,1.2739464,0.5263989589142963,gumbel_soft
2,1.2902923,test,1.2884628,0.5206922498118887,gumbel_soft
3,1.2424612,train,1.1949598,0.5486824892543449,gumbel_soft
3,1.2424612,val,1.2074202,0.5473136270682283,gumbel_soft
3,1.2424612,test,1.2063736,0.5425131677953349,gumbel_soft
4,1.1569582,train,1.1104442,0.577202599721755,gumbel_soft
4,1.1569582,val,1.1110636,0.5807770961145194,gumbel_soft
4,1.1569582,test,1.1497346,0.563999665579801,gumbel_soft
5,1.0921409,train,1.0692539,0.5854461263730559,gumbel_soft
5,1.0921409,val,1.0754147,0.5869120654396728,gumbel_soft
5,1.0921409,test,1.0747795,0.5790485745339018,gumbel_soft
6,1.0331701,train,0.99246913,0.6093149774704624,gumbel_soft
6,1.0331701,val,0.99057645,0.6105224019334449,gumbel_soft
6,1.0331701,test,1.0056679,0.6061366106512833,gumbel_soft
7,0.99256533,train,0.9399636,0.6312423430719076,gumbel_soft
7,0.99256533,val,0.92694527,0.6353411414761108,gumbel_soft
7,0.99256533,test,0.95624596,0.6229412256500293,gumbel_soft
8,0.9257375,train,0.8826754,0.6504391702485517,gumbel_soft
8,0.9257375,val,0.87940174,0.6501208403048894,gumbel_soft
8,0.9257375,test,0.88151896,0.6501964718669008,gumbel_soft
9,0.85940754,train,0.8308669,0.6673934259432297,gumbel_soft
9,0.85940754,val,0.815249,0.6749395798475553,gumbel_soft
9,0.85940754,test,0.83957785,0.6672519020148817,gumbel_soft
10,0.82821447,train,0.79479796,0.6790942502958949,gumbel_soft
10,0.82821447,val,0.8010236,0.6766127532998699,gumbel_soft
10,0.82821447,test,0.809559,0.6747763564919321,gumbel_soft
11,0.8044513,train,0.7813424,0.6828318694325048,gumbel_soft
11,0.8044513,val,0.76012635,0.6909276817252278,gumbel_soft
11,0.8044513,test,0.7898535,0.6749435665914221,gumbel_soft
12,0.7921221,train,0.7803532,0.6801947714861188,gumbel_soft
12,0.7921221,val,0.804024,0.676055028815765,gumbel_soft
12,0.7921221,test,0.7860399,0.6743583312432071,gumbel_soft
13,0.7660915,train,0.72674817,0.6996615378226292,gumbel_soft
