feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.17273869,0.19452843,0.23659307,-0.08770699,-0.061644685,-0.13068427,-1.2359829
attn_0_0_outputs,1,0.3547318,-0.17843822,0.49838075,0.2063033,0.09855795,0.07892137,0.33844256
attn_0_0_outputs,2,0.21007897,0.22769159,0.17917636,-0.008391055,0.03591094,-0.002965621,0.05721931
attn_0_0_outputs,3,0.3565074,0.3904137,0.6135088,-0.19828936,0.059116185,0.07256654,0.33023977
attn_0_0_outputs,4,0.03914319,-0.17069629,0.2768038,-0.17542002,-0.42113784,-0.35511652,-0.018310275
attn_0_0_outputs,5,0.2853682,0.32603568,0.5264516,0.21985379,0.06373161,-0.28203562,-0.2500469
attn_0_0_outputs,<pad>,-0.16576438,-0.36980557,-0.056505688,0.43980035,-0.5394437,-0.36305833,0.0838215
attn_0_0_outputs,<s>,-0.005737688,0.16896433,0.327206,-0.30748665,0.24488525,-0.56180716,0.11249808
attn_0_0_outputs,_,0.26893368,0.7416953,0.24748659,0.46103194,0.011670769,0.108353585,-0.6652709
attn_0_0_outputs,_,0.4509183,-0.0248993,0.02620875,-0.27151677,0.01406463,0.31199571,-0.94135314
attn_0_0_outputs,_,-0.6261403,-0.090321355,0.0004940561,0.13398524,0.19589636,-0.45700872,0.24663031
attn_0_0_outputs,_,-0.13154976,-0.4008197,-0.26088682,0.07716548,0.18533814,0.21077782,0.13712658
attn_0_1_outputs,0,0.78910685,-0.29437378,-0.102072395,-0.23606245,-0.37072977,-0.28278837,-1.7323347
attn_0_1_outputs,1,-0.24725078,1.7783276,-0.21842687,-0.39371789,-0.37235302,-0.30328327,-2.5490518
attn_0_1_outputs,2,-0.5562405,-0.6500224,0.6958346,-0.42202717,-0.51554954,-0.4945302,0.14166074
attn_0_1_outputs,3,0.2087652,-0.026159221,0.15590444,1.0108953,-0.09159231,0.07066228,0.8801385
attn_0_1_outputs,4,-0.3356144,-0.4225569,-0.11818934,-0.17113872,0.35669273,-0.23652823,0.3556541
attn_0_1_outputs,5,0.37586376,0.21682882,0.40898365,0.5265574,0.26997456,0.9338961,0.77713686
attn_0_1_outputs,<pad>,-0.35528263,-0.05230397,0.28400242,-0.026629798,-0.5394067,0.14018175,0.5122632
attn_0_1_outputs,<s>,0.5540589,0.0482497,-0.23822543,-0.027366119,0.054548103,0.8424604,-0.5255984
attn_0_1_outputs,_,-0.21464832,0.04307512,0.45260662,0.6364086,0.16490786,0.62622124,-1.2189803
attn_0_1_outputs,_,0.039683815,-0.19735141,-0.47042465,0.1970187,0.73976433,0.118257254,-0.5062942
attn_0_1_outputs,_,0.015358124,-0.10165779,0.64068407,-0.058041837,0.3136605,0.11557108,-0.17955387
attn_0_1_outputs,_,-0.35626563,-0.34159827,-0.4424601,-0.18228075,0.42975387,-0.069596864,0.22665052
attn_0_2_outputs,0,4.9771395,-1.267856,1.8183367,0.3394311,-2.5277426,-2.2414308,-1.1496298
attn_0_2_outputs,1,-1.8051316,2.804283,-0.9221969,-0.94224286,0.56024057,-1.857148,-2.0912013
attn_0_2_outputs,2,-1.2243546,2.7911437,-0.33389476,-0.5375463,0.21651678,-1.1692215,-1.1856062
attn_0_2_outputs,3,-0.1854168,-0.40477324,-0.19871901,-0.21835494,0.09960824,0.26459393,-1.1938419
attn_0_2_outputs,4,-0.02124092,-1.2525063,1.1868916,0.6551871,-2.4908948,3.047819,5.5219417
attn_0_2_outputs,5,-1.3026042,-2.0448732,-0.0511287,-0.35248533,0.86979955,2.053188,-0.11784833
attn_0_2_outputs,<pad>,0.06595289,-0.23628083,-0.50857294,-0.42462847,-0.17017095,-0.17255488,1.0168014
attn_0_2_outputs,<s>,-0.7289059,-2.2022948,-0.02432832,-0.10636527,1.6776854,-0.6487838,1.4677943
attn_0_2_outputs,_,-0.5117543,0.43104988,0.24934806,0.19930972,0.8626097,0.5022164,-0.33358335
attn_0_2_outputs,_,0.40226611,0.15823252,-0.095174484,0.14442728,0.3757408,-0.12701619,-0.8127627
attn_0_2_outputs,_,-0.087236054,-0.4513067,0.29835278,-0.25844923,0.5610526,0.8078182,-0.3675701
attn_0_2_outputs,_,-0.28305033,-0.66205734,-0.7723457,-0.33184677,0.034314603,0.48766348,0.30151212
attn_0_3_outputs,0,-0.22621436,0.51510644,0.5331117,0.22151579,0.18481292,0.34453678,-0.17551507
attn_0_3_outputs,1,-0.068936676,-0.5236377,0.28911656,-0.03193708,0.06472592,0.21196961,0.28578722
attn_0_3_outputs,2,-0.092759885,-0.06975571,0.06391982,-0.1198828,-0.1653898,-0.07005493,-0.75791955
attn_0_3_outputs,3,0.19972336,0.36041197,0.54459405,-0.15480766,0.2801451,0.47100753,-0.3655557
attn_0_3_outputs,4,0.19090636,0.4018765,0.58982486,0.28599855,-0.27658352,0.4435137,-0.3191306
attn_0_3_outputs,5,-0.02938348,0.427393,0.45981434,0.08756731,0.035215147,-0.17287026,-0.24627544
attn_0_3_outputs,<pad>,0.22233923,-0.27997988,-0.08905952,-0.18038222,-0.31698853,-0.1268941,0.89547735
attn_0_3_outputs,<s>,0.08219723,0.16114892,-0.34907812,-0.29517794,0.19379808,0.44444716,0.11459501
attn_0_3_outputs,_,0.51222926,0.9300989,0.45484355,0.5301409,0.07129867,0.4795208,-0.8186829
attn_0_3_outputs,_,0.091158405,0.28960317,0.41865,-0.041314077,0.09359936,0.022338111,-0.19462457
attn_0_3_outputs,_,-0.6564686,-0.45867068,0.016943935,-0.47949588,0.08715088,0.27453506,0.07104477
attn_0_3_outputs,_,-0.2868498,-0.32075232,0.43335682,-0.4848544,0.15961635,-0.10542227,0.30912176
attn_1_0_outputs,0,-0.011294115,-0.35110974,-0.82628864,-0.26683635,0.057141744,0.34426013,-0.07488273
attn_1_0_outputs,1,0.40478647,0.47334293,-0.416216,0.002523243,0.4795405,0.63169503,-2.7227998
attn_1_0_outputs,2,-0.6833684,-0.9176546,1.8948778,-1.1587453,-0.68500423,-0.58211654,0.13109532
attn_1_0_outputs,3,0.13994175,-0.14937769,-0.95299995,0.020344459,0.17777741,0.23958024,1.7142547
attn_1_0_outputs,4,0.16384366,-0.3387578,-0.9265667,-0.37012902,0.10712773,0.28870422,0.4359487
attn_1_0_outputs,5,0.06201281,-0.30711114,-0.9407984,-0.68501014,0.36440986,0.03631235,1.5424535
attn_1_0_outputs,<pad>,0.2514166,0.31405106,0.29224905,0.051739782,-0.48837125,0.18172249,0.89089185
attn_1_0_outputs,<s>,0.31227738,0.28369796,-0.8427125,-0.16426605,0.36495385,0.25613844,-0.32921058
attn_1_0_outputs,_,0.38726458,0.032145776,0.15020299,0.28861958,0.09102903,0.21477029,-0.6722589
attn_1_0_outputs,_,-0.35748804,-0.30516744,0.12754461,-0.57030976,0.5019482,0.09863131,0.77915853
attn_1_0_outputs,_,-0.06010671,-0.079747155,0.4527046,0.2769513,0.026388051,0.1980667,-0.8255061
attn_1_0_outputs,_,-0.3175182,0.17494634,-0.02489546,0.017001458,-0.019421898,0.5929751,-0.28826255
attn_1_1_outputs,0,-0.1552683,-0.33391657,0.14006726,-0.28003886,-0.7627917,0.29610986,-0.4283791
attn_1_1_outputs,1,0.15875563,0.0601265,0.070597574,0.03823881,0.1957811,-0.34585997,-0.79417926
attn_1_1_outputs,10,0.58679724,0.4417485,0.51118284,0.39348885,0.610938,0.722533,-0.398026
attn_1_1_outputs,11,0.5766873,0.23460232,0.79148847,0.25492594,-0.09473686,0.77484286,-0.118944034
attn_1_1_outputs,2,0.28067896,0.09412712,0.17172834,0.33593944,-0.64760077,0.25798437,-0.29002836
attn_1_1_outputs,3,0.047177214,-0.03616765,0.2983617,-0.0855133,0.28322664,-0.09994198,-0.2648277
attn_1_1_outputs,4,-0.25335127,-0.3308956,0.083362974,-0.33442286,-1.373854,-1.1232164,5.0495996
attn_1_1_outputs,5,0.28153065,-0.18206161,0.23652971,0.21852243,0.23371245,0.16967016,-0.05481735
attn_1_1_outputs,6,0.5458468,0.98882234,-0.61558956,-0.32997036,1.2057922,-1.6210604,1.6503478
attn_1_1_outputs,7,-0.14829816,-0.38619757,-0.21189407,-0.27644822,-0.32058153,-0.35428116,-0.90404665
attn_1_1_outputs,8,0.5657606,0.17462163,0.195425,0.31675687,0.06887575,-0.22087348,-0.08660703
attn_1_1_outputs,9,0.35563302,0.24499615,0.50909424,0.15550244,0.62930167,-0.15005657,-1.2467928
attn_1_2_outputs,0,-0.097019605,0.25883573,0.20846489,0.008595629,0.23193868,0.28153044,-0.23652665
attn_1_2_outputs,1,-0.035756983,-0.14877284,0.042160533,-0.1677267,-0.013307496,0.07908831,-0.5667359
attn_1_2_outputs,2,0.0642117,0.07569908,0.20443164,-0.010634793,0.08909173,0.22727141,-0.163744
attn_1_2_outputs,3,-0.2908796,-0.12530021,-0.14749408,-0.32944626,-0.15529567,-0.06681761,-0.51343006
attn_1_2_outputs,4,0.22159688,0.19863151,0.3440625,0.14744967,0.17562878,0.45509136,0.07109193
attn_1_2_outputs,5,0.23627518,0.34678504,0.3212414,0.25323492,0.30357283,0.26849866,-0.066912256
attn_1_2_outputs,<pad>,-0.749238,0.16144343,-0.27763855,-0.6954807,-1.3629723,-0.23817746,0.73389965
attn_1_2_outputs,<s>,-0.037125994,-0.03316125,-0.1923981,-0.26638997,0.022724016,0.16871762,0.43013015
attn_1_2_outputs,_,0.45685112,0.1469043,0.19946538,-0.4262192,0.18516955,-0.026681568,-0.22148931
attn_1_2_outputs,_,-0.91095835,-0.36842668,-0.27034953,-0.059482347,0.085513234,0.5485883,0.019977035
attn_1_2_outputs,_,0.1913091,0.5195438,0.3104901,-0.7060779,0.024370786,-0.2141694,-0.57943904
attn_1_2_outputs,_,-0.52868277,0.12593208,0.46081704,0.2770249,0.3024741,-0.038866226,0.049918972
attn_1_3_outputs,0,-0.063832104,0.11238754,-0.18373561,0.07604277,0.22760965,0.53701264,-2.3538277
attn_1_3_outputs,1,-0.14860603,0.37880024,0.24916482,0.25738043,0.17391294,0.40951803,-0.2488066
attn_1_3_outputs,2,-0.33161616,0.26898783,0.23259051,0.059381977,0.045824904,0.45297036,0.52306116
attn_1_3_outputs,3,-0.4198212,0.083430424,-0.15492645,-0.11256609,-0.19527885,0.1275996,0.2818657
attn_1_3_outputs,4,-0.2430663,0.018643383,-0.06953153,-0.12310699,-0.25360352,0.31441957,0.25968537
attn_1_3_outputs,5,-0.041381888,0.21719365,0.027036227,0.20045492,0.15272,0.32287845,0.17219393
attn_1_3_outputs,<pad>,-0.5164951,-0.7700777,-0.25621483,-0.14350407,-1.276659,0.10195862,0.6331864
attn_1_3_outputs,<s>,0.20182341,0.21890286,-0.011564668,-0.013975153,0.49594152,0.27988395,-0.99245006
attn_1_3_outputs,_,0.3627322,0.47860637,-0.3337834,0.40385148,0.1851715,-0.039244976,-0.5843183
attn_1_3_outputs,_,-0.7137228,-0.5021931,-0.42025006,0.7556348,0.16796163,0.583398,-0.154774
attn_1_3_outputs,_,-0.18550298,0.17530328,0.41099742,0.30701715,0.28908285,0.79098594,-0.7697846
attn_1_3_outputs,_,-0.025022855,0.07131492,0.05853412,0.3399431,-0.3675858,0.43989396,-0.794021
attn_2_0_outputs,0,-0.6089925,-0.9766531,1.7733461,1.0003136,0.6336915,1.4971486,-0.541026
attn_2_0_outputs,1,-0.34838763,-0.53508896,-0.40495765,-0.3084269,-0.16963239,-0.48088378,0.2368329
attn_2_0_outputs,10,0.6668631,-0.036967386,0.36229923,0.18020639,0.26347262,0.19220155,-1.3196838
attn_2_0_outputs,11,-0.14552133,0.059493203,0.6429486,-0.24619876,-0.40056983,-0.12625585,1.3367146
attn_2_0_outputs,2,-1.3579146,-0.22683352,0.3446354,0.051431462,0.30012974,0.13278869,0.6347514
attn_2_0_outputs,3,0.53661674,-0.22065027,0.2135374,-0.39506105,0.26540953,0.49791166,0.12770714
attn_2_0_outputs,4,0.9183123,-0.0028480785,0.3965093,0.033802986,-0.06954122,-0.20077364,-1.7509865
attn_2_0_outputs,5,0.4985834,-0.31897384,0.16747521,-0.04105753,0.0053586457,-0.3680764,-0.35872993
attn_2_0_outputs,6,-0.27898094,0.025197307,0.2991935,0.19001603,0.44529533,0.31125534,0.66623646
attn_2_0_outputs,7,0.7070294,-0.38400507,0.34991157,0.3328704,0.7431848,0.076941065,-0.78778
attn_2_0_outputs,8,0.4403456,-0.09482205,0.6117703,-0.09320787,0.32652113,0.19457905,-0.9908408
attn_2_0_outputs,9,0.26068667,0.6370582,0.22607462,-0.39836597,-0.9839303,-0.28843817,1.0573322
attn_2_1_outputs,0,0.19169772,0.122822285,-0.10547497,0.2327043,-0.0097155925,-0.078283794,-0.1286605
