feature,value,0,1,2,3,4
attn_0_0_outputs,0,6.5685763,0.9462853,-2.7459285,-0.77915263,-3.6893215
attn_0_0_outputs,1,-2.1949697,2.7304187,0.76497245,-0.9061717,-1.9295459
attn_0_0_outputs,2,-1.649065,-1.7870461,-0.9182825,0.06518932,3.6361966
attn_0_0_outputs,3,-7.073554,1.8492558,4.13339,1.754539,-2.0174398
attn_0_0_outputs,4,-3.2490635,-3.4297142,-1.1664214,-0.684787,5.0872965
attn_0_0_outputs,</s>,-0.9132651,-1.0390218,-0.5479866,0.3625077,1.0273558
attn_0_0_outputs,<pad>,-0.2403552,-0.37915877,-0.09577333,-0.03634248,0.58928204
attn_0_0_outputs,<s>,-2.6750505,-4.331734,-0.6557719,5.622421,3.936732
attn_0_0_outputs,_,0.13885124,-0.0973717,0.6216122,0.48309374,-1.7145443
attn_0_0_outputs,_,-0.2761877,0.6207856,0.38264364,0.34261128,-1.3173541
attn_0_0_outputs,_,-0.718971,0.2408516,0.9190704,0.70484924,-1.4565215
attn_0_0_outputs,_,0.55759335,0.67483467,0.6352496,0.07219713,-0.98340875
attn_0_1_outputs,0,1.009493,0.025264366,-0.36972275,-0.05560079,-0.46711406
attn_0_1_outputs,1,-1.2491106,0.44558388,0.783642,0.5723597,-0.60083175
attn_0_1_outputs,2,-1.0280266,-0.07054823,1.4695947,-0.3144888,-0.7563318
attn_0_1_outputs,3,-1.2749237,-0.65497416,0.5515855,1.619739,-0.027113756
attn_0_1_outputs,4,-2.9654393,-1.8925592,-0.19578709,1.0031809,2.2863212
attn_0_1_outputs,</s>,-1.0730495,-3.9342759,-2.439766,2.78556,9.507892
attn_0_1_outputs,<pad>,0.04316173,-0.5092769,0.41664666,0.76297075,0.41657904
attn_0_1_outputs,<s>,-0.44498426,-0.14558932,0.17717408,0.16526552,0.8665456
attn_0_1_outputs,_,0.67611647,0.20787208,0.1242745,-0.65784127,-1.4982923
attn_0_1_outputs,_,-0.6130811,1.1770986,0.018888405,-0.008589667,-1.3681817
attn_0_1_outputs,_,-0.09858588,-0.040690474,1.0442332,0.011271697,-1.7409995
attn_0_1_outputs,_,-0.6589641,0.30514112,0.77998203,0.32080457,-1.0366125
attn_0_2_outputs,0,6.3784914,-3.8429432,-3.5960448,0.50963026,-0.06354164
attn_0_2_outputs,1,-0.6466072,1.2415969,2.0025926,1.196466,-3.329727
attn_0_2_outputs,2,-9.896408,-1.7985128,8.110126,-1.0180514,-2.5387144
attn_0_2_outputs,3,-5.8229465,-2.1348376,-6.116759,3.2468057,4.555691
attn_0_2_outputs,4,-4.8892684,-0.9139493,-1.5390894,0.6832973,5.543265
attn_0_2_outputs,</s>,-0.62923276,0.2901741,-0.7911625,2.6673083,0.3192633
attn_0_2_outputs,<pad>,1.6975101,-0.9193493,-0.95181364,1.7122811,-2.225675
attn_0_2_outputs,<s>,-0.08770642,0.78275824,0.45039204,0.11043429,-1.3079325
attn_0_2_outputs,_,1.8576994,-0.3826556,-1.3486985,1.8045776,-1.6850951
attn_0_2_outputs,_,-0.8635248,1.7673817,-0.6045354,1.4937623,-3.7898757
attn_0_2_outputs,_,1.3197418,-1.0181684,-1.1334147,0.9087154,-3.6857917
attn_0_2_outputs,_,0.31750453,0.6033017,0.2606273,0.8111916,-2.051021
attn_0_3_outputs,0,-0.8066376,-1.0266802,-0.55232793,1.1873857,1.5637654
attn_0_3_outputs,1,4.6060677,5.543987,-0.018109374,-3.3108938,-0.9305038
attn_0_3_outputs,2,-0.24891286,2.6853566,2.3650541,-2.3663588,-0.94450676
attn_0_3_outputs,3,-4.2275467,-3.559325,-1.5045404,3.3360507,2.344334
attn_0_3_outputs,4,-3.7155821,-3.1724567,1.0120586,1.5823147,2.7153025
attn_0_3_outputs,</s>,-1.0248408,-0.7136102,-0.46794206,1.4731497,1.4273783
attn_0_3_outputs,<pad>,-0.00027677452,-0.6029115,-0.43338883,0.56726813,0.38052785
attn_0_3_outputs,<s>,-0.8009866,-0.16019733,1.948625,-4.5142837,2.373678
attn_0_3_outputs,_,0.011983125,-0.2995693,-0.4913662,-0.42475957,-0.5335631
attn_0_3_outputs,_,-0.15259504,0.86604774,0.049766358,-0.33144975,-1.0545374
attn_0_3_outputs,_,-0.46842504,0.15164423,-0.19807173,0.19277103,-0.797317
attn_0_3_outputs,_,0.46083575,0.07118153,0.70490354,0.48637918,-1.2376542
attn_1_0_outputs,0,-1.4086145,-1.036366,-0.70608544,0.68434906,0.94736284
attn_1_0_outputs,1,-0.97179455,-0.8866716,-0.5613779,0.92055273,0.8611808
attn_1_0_outputs,2,-1.6782193,-0.6165493,0.7017437,0.9149109,1.3010244
attn_1_0_outputs,3,-0.56053805,-0.5382328,0.29688627,1.8589395,1.3222536
attn_1_0_outputs,4,-1.9455453,-1.2672563,-0.23814043,1.4344239,2.6013114
attn_1_0_outputs,</s>,-1.680368,-1.0030566,-0.5461565,1.3307043,2.3987246
attn_1_0_outputs,<pad>,-0.3483981,0.0060135378,-0.41364488,0.3252915,0.29818556
attn_1_0_outputs,<s>,-1.5124824,-0.6863456,-0.16724664,1.4624807,1.7864031
attn_1_0_outputs,_,-0.1778447,0.13364051,-0.13714819,-0.026242377,-1.1428273
attn_1_0_outputs,_,0.13854776,-0.33956632,-0.11937972,-0.7297458,-0.18846847
attn_1_0_outputs,_,-0.5040175,-0.19551297,0.15804929,0.2824922,-0.20314829
attn_1_0_outputs,_,0.10871865,-0.29611114,-0.6179223,0.62813574,0.20460431
attn_1_1_outputs,0,-0.78607225,-1.1248585,-1.2807492,0.3464653,0.67534125
attn_1_1_outputs,1,-1.0458646,-0.69503564,-0.24758352,0.7911966,0.44160417
attn_1_1_outputs,2,-0.78733546,-0.5640553,0.6277133,1.0465472,0.92841476
attn_1_1_outputs,3,-1.3782349,-0.9197895,-0.17908524,1.7673614,1.3303195
attn_1_1_outputs,4,-1.6819314,-1.2725339,-0.11786859,1.4468191,2.826525
attn_1_1_outputs,</s>,-1.0556235,-1.2151744,-0.34904805,1.5114923,1.837479
attn_1_1_outputs,<pad>,-0.5663745,0.3586354,-0.13651548,-0.02211867,1.3306586
attn_1_1_outputs,<s>,-1.353327,-1.4387033,-0.2963677,1.069981,2.16302
attn_1_1_outputs,_,-0.49508741,0.14974256,-0.113333315,0.034519218,0.21505931
attn_1_1_outputs,_,0.04872001,-0.26034895,0.19172968,0.28227755,-0.69178766
attn_1_1_outputs,_,0.39938956,0.06417555,0.14357826,0.48069987,-0.41688395
attn_1_1_outputs,_,-0.035377517,0.5700477,-0.44230998,0.14582764,-0.59396124
attn_1_2_outputs,0,-0.61629164,-0.8970959,-1.016946,-0.36385417,0.92174304
attn_1_2_outputs,1,-0.5686002,0.51638174,-0.58926404,1.7055418,0.16960093
attn_1_2_outputs,2,-2.7176073,0.46396902,6.7531652,-1.5905359,-3.4009757
attn_1_2_outputs,3,-1.9405233,-0.98374325,-1.1192379,0.4418499,2.6858697
attn_1_2_outputs,4,-1.4332342,-2.0397367,-1.4818621,0.8895156,4.377766
attn_1_2_outputs,</s>,-1.3210993,-0.6288324,0.06774268,0.79843485,1.6783847
