feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.48945925,0.21578734,-0.11177095,0.05942556,0.09138865,-0.07225925,0.3326374
attn_0_0_outputs,1,0.6747433,0.03064664,0.23566325,0.4342514,0.41577363,0.20516357,-0.82954556
attn_0_0_outputs,2,0.2995171,0.22674318,-0.14724976,0.19222984,0.18026088,-0.08029851,-0.43328694
attn_0_0_outputs,3,0.53576404,0.39520675,0.17188777,-0.74214184,0.29522058,0.065347865,0.6835062
attn_0_0_outputs,4,0.5614655,0.45522362,0.16445175,0.40913588,-0.54255456,0.13561217,0.52417964
attn_0_0_outputs,5,0.42664036,0.3153242,0.14815491,0.33049616,0.30367094,-0.66728437,0.4105645
attn_0_0_outputs,<pad>,-0.422129,0.43451247,0.25390366,-0.32164788,0.37108245,-0.25766265,1.0376456
attn_0_0_outputs,<s>,-2.801083,1.3524169,0.70566833,0.9306198,0.8415855,0.41305637,-0.67346203
attn_0_0_outputs,_,0.10271196,0.6106754,-0.09986538,-0.07685537,0.101460785,0.011202054,1.2342286
attn_0_0_outputs,_,0.27140027,-0.1429406,-0.31138408,0.09282539,0.22384796,-0.2786826,0.37868127
attn_0_0_outputs,_,0.3801115,-0.7669987,0.4398268,0.3933385,-0.6343695,0.28127003,0.2902352
attn_0_0_outputs,_,-0.08232191,-0.42943558,0.3470371,0.2694801,-0.62202114,0.11077695,0.5105318
attn_0_0_outputs,_,0.27535558,-0.78442425,-0.6022574,0.025159124,0.29544392,0.096113905,0.71895564
attn_0_0_outputs,_,0.7090436,-0.03469641,0.36981383,-0.13975528,0.049760696,0.604481,-0.16925113
attn_0_0_outputs,_,0.117886946,-0.25562695,-1.1700776,-0.1274869,-1.1608188,0.16852485,0.8729847
attn_0_0_outputs,_,-0.21636891,-0.8020734,-0.998287,-0.5590836,-0.43466616,-0.35227695,0.1878085
attn_0_0_outputs,_,-0.1515896,-0.44972408,-0.09400999,0.05315123,0.052137,0.052229352,0.06994976
attn_0_0_outputs,_,0.3841209,-0.3780402,-0.19675815,-0.04104767,-0.41400778,0.5462281,0.4000631
attn_0_0_outputs,_,0.19618927,-0.27214307,-0.29612455,-0.12825184,-0.089850135,0.66097856,-0.47304344
attn_0_0_outputs,_,-0.30782974,-0.074407354,0.5521433,0.3073527,0.02793659,-0.233479,0.39181045
attn_0_0_outputs,_,0.21173793,0.008287244,-0.2750392,-0.31777894,-0.27789757,1.0229925,0.095520794
attn_0_0_outputs,_,-0.1830394,-0.5200449,0.14419372,-0.2805812,-0.4734307,-0.5767607,0.3356854
attn_0_0_outputs,_,-0.20228346,0.2495396,-0.5381081,-0.8166864,-0.14924157,-0.32125294,0.80031115
attn_0_0_outputs,_,-0.111071974,0.18982609,0.583794,-0.60136247,0.03189026,-0.14316148,-0.118089356
attn_0_0_outputs,_,0.66652215,-1.0943108,-0.29959428,0.0891674,-0.035698403,-0.01689605,0.07901687
attn_0_0_outputs,_,-0.05247076,-0.47605553,-1.2919158,-1.2162046,-0.1409383,0.76230896,1.0463392
attn_0_0_outputs,_,0.016495666,-0.9858284,-0.43325987,-0.1564652,0.38144085,-0.016063161,-0.17648968
attn_0_0_outputs,_,-0.06992186,0.44320905,-0.48990816,-0.20591904,1.0399215,0.43358234,0.6206879
attn_0_0_outputs,_,-0.23418824,-0.8434597,-0.1470554,-0.08527198,0.15968907,0.08329507,0.70826167
attn_0_0_outputs,_,-0.09023673,-0.11632006,-0.18844429,0.47486869,-0.17781125,0.19487576,0.17459533
attn_0_0_outputs,_,0.57681644,0.0538467,0.23085202,-0.74212795,1.0911992,0.69920844,0.8306898
attn_0_0_outputs,_,0.33259445,-0.42554775,-0.45970455,0.63210475,-0.33429813,0.6141673,0.22784925
attn_0_0_outputs,_,0.36245647,-0.62489325,-0.9820493,-0.33331352,-0.020760644,0.95680374,0.39305094
attn_0_0_outputs,_,0.43235934,-0.41142708,-0.18785709,0.4689268,-0.06377443,0.3421364,0.103200056
attn_0_0_outputs,_,0.42068073,-0.34327886,0.5471586,0.39089063,1.2579994,-0.17587686,-0.23866715
attn_0_0_outputs,_,-0.36559987,-0.80398124,-0.2313973,-0.86429435,-0.029990466,0.7071097,0.24054612
attn_0_0_outputs,_,0.27202067,-0.90840274,-0.5669467,-1.3685629,0.03390322,0.3812812,0.4487856
attn_0_0_outputs,_,0.103954926,-0.21917596,0.11949419,-0.41029036,-0.49619645,0.49319893,0.77406776
attn_0_0_outputs,_,-0.19358253,-0.02545003,-0.2918392,-0.24146011,0.04064563,0.16598879,-0.31559318
attn_0_0_outputs,_,-1.0101985,-0.4269824,0.37952572,0.37810922,-0.3938576,0.07528494,-0.13282521
attn_0_0_outputs,_,0.31008744,-0.045752633,-0.4212416,0.38837823,-0.7080637,0.7945704,-0.31952536
attn_0_0_outputs,_,-0.75064605,0.5148216,-0.0677638,0.039926346,-0.49650633,0.13701156,0.19990362
attn_0_0_outputs,_,-0.19142048,-0.025079718,-0.6349671,0.38900346,1.2553335,-0.20720823,0.11961542
attn_0_0_outputs,_,0.2529334,-0.9914841,0.56376827,0.75797397,0.25013825,0.11819579,-0.06894386
attn_0_0_outputs,_,-0.0697992,-0.4371269,-0.34053475,-0.4550678,-0.15643342,-0.007998321,0.19776411
attn_0_0_outputs,_,-0.36333105,-0.1826002,0.6068648,0.24493706,0.45266518,0.19666195,-0.4152168
attn_0_0_outputs,_,-1.0220783,0.0961803,-0.098909035,-0.07136071,-0.60221493,-0.27484915,-0.09377894
attn_0_0_outputs,_,-0.57369566,0.51824385,-0.28044838,0.32346925,-0.04990959,-0.6347538,0.5148599
attn_0_0_outputs,_,-0.22077636,-0.2832832,0.31021646,0.22713879,-0.34491572,0.5079808,0.057308994
attn_0_0_outputs,_,0.5881598,-0.69536614,-0.903314,0.06933974,0.24302396,-0.35831857,-0.22370988
attn_0_0_outputs,_,0.29483882,-0.97071886,-0.7282688,0.021416105,0.26893944,-0.025192171,0.23766196
attn_0_0_outputs,_,-0.020696962,-0.6091398,0.79389006,0.20193675,-0.55729276,0.5924174,-0.27182582
attn_0_0_outputs,_,0.25159007,-0.13584845,-0.4505865,-0.025653655,-0.24225718,0.58242893,-0.07133926
