epoch,epoch_loss,split,loss,acc,sample_fn
0,1.9652437,train,1.9676242,0.18831168831168832,gumbel_soft
0,1.9652437,val,2.147625,0.0975609756097561,gumbel_soft
0,1.9652437,test,1.9309574,0.2972972972972973,gumbel_soft
1,1.9437101,train,1.8805393,0.262987012987013,gumbel_soft
1,1.9437101,val,2.0571988,0.21951219512195122,gumbel_soft
1,1.9437101,test,1.8990605,0.21621621621621623,gumbel_soft
2,1.8527813,train,1.7283489,0.2792207792207792,gumbel_soft
2,1.8527813,val,1.8827161,0.3902439024390244,gumbel_soft
2,1.8527813,test,1.7662748,0.24324324324324326,gumbel_soft
3,1.6599684,train,1.5289574,0.3474025974025974,gumbel_soft
3,1.6599684,val,1.7261207,0.24390243902439024,gumbel_soft
3,1.6599684,test,1.5483373,0.43243243243243246,gumbel_soft
4,1.5753573,train,1.4249158,0.42857142857142855,gumbel_soft
4,1.5753573,val,1.5163014,0.34146341463414637,gumbel_soft
4,1.5753573,test,1.4661968,0.35135135135135137,gumbel_soft
5,1.3857185,train,1.3746701,0.37987012987012986,gumbel_soft
5,1.3857185,val,1.4260175,0.4146341463414634,gumbel_soft
5,1.3857185,test,1.5539771,0.35135135135135137,gumbel_soft
6,1.4221519,train,1.3667241,0.38961038961038963,gumbel_soft
6,1.4221519,val,1.4394093,0.3902439024390244,gumbel_soft
6,1.4221519,test,1.6043408,0.35135135135135137,gumbel_soft
7,1.3704935,train,1.2157867,0.5,gumbel_soft
7,1.3704935,val,1.4650303,0.2926829268292683,gumbel_soft
7,1.3704935,test,1.3871878,0.43243243243243246,gumbel_soft
8,1.2660973,train,1.1619506,0.4967532467532468,gumbel_soft
8,1.2660973,val,1.3356801,0.4146341463414634,gumbel_soft
8,1.2660973,test,1.3525083,0.40540540540540543,gumbel_soft
9,1.2586612,train,1.1570445,0.4902597402597403,gumbel_soft
9,1.2586612,val,1.3605112,0.43902439024390244,gumbel_soft
9,1.2586612,test,1.3654087,0.40540540540540543,gumbel_soft
10,1.1088694,train,1.1078296,0.5324675324675324,gumbel_soft
10,1.1088694,val,1.2924722,0.43902439024390244,gumbel_soft
10,1.1088694,test,1.22771,0.5405405405405406,gumbel_soft
11,1.1305028,train,1.1001639,0.5194805194805194,gumbel_soft
11,1.1305028,val,1.3270453,0.34146341463414637,gumbel_soft
11,1.1305028,test,1.1681584,0.5405405405405406,gumbel_soft
12,1.1397605,train,1.0190275,0.5487012987012987,gumbel_soft
12,1.1397605,val,1.3108448,0.36585365853658536,gumbel_soft
12,1.1397605,test,1.2442472,0.4594594594594595,gumbel_soft
13,1.0757383,train,1.0233449,0.564935064935065,gumbel_soft
13,1.0757383,val,1.1509995,0.43902439024390244,gumbel_soft
13,1.0757383,test,1.1766115,0.5135135135135135,gumbel_soft
14,1.0924977,train,0.9750353,0.5584415584415584,gumbel_soft
14,1.0924977,val,1.0506008,0.5365853658536586,gumbel_soft
14,1.0924977,test,1.1473564,0.5135135135135135,gumbel_soft
15,0.96875525,train,0.9193216,0.5681818181818182,gumbel_soft
15,0.96875525,val,1.1662478,0.5609756097560976,gumbel_soft
15,0.96875525,test,1.0107099,0.5675675675675675,gumbel_soft
16,0.90636426,train,0.9440984,0.5974025974025974,gumbel_soft
16,0.90636426,val,1.0375623,0.5121951219512195,gumbel_soft
16,0.90636426,test,1.0665948,0.4864864864864865,gumbel_soft
17,0.9745036,train,0.9043061,0.6233766233766234,gumbel_soft
17,0.9745036,val,1.2053553,0.6097560975609756,gumbel_soft
17,0.9745036,test,1.0005753,0.5945945945945946,gumbel_soft
18,0.95702785,train,0.807137,0.6363636363636364,gumbel_soft
18,0.95702785,val,1.0709208,0.5853658536585366,gumbel_soft
18,0.95702785,test,0.99830455,0.6486486486486487,gumbel_soft
19,0.856788,train,0.8411097,0.6266233766233766,gumbel_soft
19,0.856788,val,0.8513127,0.7317073170731707,gumbel_soft
19,0.856788,test,1.0860264,0.6216216216216216,gumbel_soft
20,0.79556197,train,0.8355642,0.6298701298701299,gumbel_soft
20,0.79556197,val,1.0274968,0.5365853658536586,gumbel_soft
20,0.79556197,test,0.9804281,0.6216216216216216,gumbel_soft
21,0.83311766,train,0.814033,0.6136363636363636,gumbel_soft
21,0.83311766,val,1.0870594,0.4878048780487805,gumbel_soft
21,0.83311766,test,0.8823258,0.6486486486486487,gumbel_soft
22,0.7526937,train,0.75874585,0.6558441558441559,gumbel_soft
22,0.7526937,val,0.92454696,0.6341463414634146,gumbel_soft
22,0.7526937,test,1.0101802,0.6216216216216216,gumbel_soft
23,0.76763946,train,0.75945103,0.6623376623376623,gumbel_soft
23,0.76763946,val,0.9544897,0.6341463414634146,gumbel_soft
23,0.76763946,test,0.96903324,0.5945945945945946,gumbel_soft
24,0.7045555,train,0.7473394,0.6623376623376623,gumbel_soft
24,0.7045555,val,0.9389554,0.6097560975609756,gumbel_soft
24,0.7045555,test,0.884863,0.6216216216216216,gumbel_soft
25,0.80697083,train,0.7279576,0.6948051948051948,gumbel_soft
25,0.80697083,val,0.96056736,0.5853658536585366,gumbel_soft
25,0.80697083,test,0.89139557,0.5945945945945946,gumbel_soft
26,0.7132118,train,0.7574381,0.6818181818181818,gumbel_soft
26,0.7132118,val,0.9731723,0.5365853658536586,gumbel_soft
26,0.7132118,test,0.992366,0.5405405405405406,gumbel_soft
27,0.80054057,train,0.7622341,0.6461038961038961,gumbel_soft
27,0.80054057,val,0.93485683,0.5609756097560976,gumbel_soft
27,0.80054057,test,0.8257629,0.6756756756756757,gumbel_soft
28,0.66331273,train,0.74606717,0.6428571428571429,gumbel_soft
28,0.66331273,val,0.8481172,0.6097560975609756,gumbel_soft
28,0.66331273,test,0.8910799,0.6756756756756757,gumbel_soft
29,0.770887,train,0.73917216,0.711038961038961,gumbel_soft
29,0.770887,val,0.8320124,0.6097560975609756,gumbel_soft
29,0.770887,test,0.71413195,0.7027027027027027,gumbel_soft
30,0.69245374,train,0.70152426,0.6785714285714286,gumbel_soft
30,0.69245374,val,0.81295556,0.5853658536585366,gumbel_soft
30,0.69245374,test,0.7640766,0.6216216216216216,gumbel_soft
31,0.7191031,train,0.63503563,0.7207792207792207,gumbel_soft
31,0.7191031,val,0.97075856,0.7073170731707317,gumbel_soft
31,0.7191031,test,0.70784396,0.7297297297297297,gumbel_soft
32,0.70872915,train,0.6895313,0.6948051948051948,gumbel_soft
32,0.70872915,val,0.8902705,0.6829268292682927,gumbel_soft
32,0.70872915,test,0.84686977,0.5405405405405406,gumbel_soft
33,0.7026151,train,0.5970537,0.737012987012987,gumbel_soft
33,0.7026151,val,0.72652066,0.7073170731707317,gumbel_soft
33,0.7026151,test,0.8797404,0.6216216216216216,gumbel_soft
34,0.66463685,train,0.746866,0.6753246753246753,gumbel_soft
34,0.66463685,val,0.9097648,0.5853658536585366,gumbel_soft
34,0.66463685,test,0.8961296,0.6216216216216216,gumbel_soft
35,0.6012988,train,0.6443334,0.6753246753246753,gumbel_soft
35,0.6012988,val,0.8783918,0.7073170731707317,gumbel_soft
35,0.6012988,test,0.9068247,0.6756756756756757,gumbel_soft
36,0.7181425,train,0.6277507,0.698051948051948,gumbel_soft
36,0.7181425,val,0.98221374,0.5853658536585366,gumbel_soft
36,0.7181425,test,1.1436284,0.5135135135135135,gumbel_soft
37,0.66707015,train,0.6615458,0.698051948051948,gumbel_soft
37,0.66707015,val,0.92590934,0.5853658536585366,gumbel_soft
37,0.66707015,test,1.0489147,0.5675675675675675,gumbel_soft
38,0.60380846,train,0.6241848,0.7045454545454546,gumbel_soft
38,0.60380846,val,0.9195933,0.7073170731707317,gumbel_soft
38,0.60380846,test,0.8719977,0.6486486486486487,gumbel_soft
39,0.6733567,train,0.61482644,0.7305194805194806,gumbel_soft
39,0.6733567,val,0.88263446,0.5853658536585366,gumbel_soft
39,0.6733567,test,0.69814646,0.5675675675675675,gumbel_soft
40,0.6935053,train,0.58533895,0.7337662337662337,gumbel_soft
40,0.6935053,val,0.8335845,0.5853658536585366,gumbel_soft
40,0.6935053,test,0.7956099,0.5675675675675675,gumbel_soft
41,0.5879427,train,0.59469503,0.7532467532467533,gumbel_soft
41,0.5879427,val,1.0571376,0.5365853658536586,gumbel_soft
41,0.5879427,test,0.8131711,0.5945945945945946,gumbel_soft
42,0.6964628,train,0.600906,0.7435064935064936,gumbel_soft
42,0.6964628,val,0.71013916,0.6829268292682927,gumbel_soft
42,0.6964628,test,0.72585106,0.6486486486486487,gumbel_soft
43,0.69712216,train,0.54687744,0.7402597402597403,gumbel_soft
43,0.69712216,val,0.84106433,0.6341463414634146,gumbel_soft
43,0.69712216,test,0.83107394,0.6216216216216216,gumbel_soft
44,0.66303164,train,0.5537272,0.7922077922077922,gumbel_soft
