feature,value,0,1,2,3,4
attn_0_0_outputs,0,1.8196464,0.99003494,0.3586581,-1.4782615,-2.6265137
attn_0_0_outputs,1,0.24856599,0.23675707,0.24931537,-0.49047267,-0.5801666
attn_0_0_outputs,2,-2.6052988,-1.0421368,1.4843295,0.72764987,1.3269974
attn_0_0_outputs,3,-1.8990792,-0.97153854,0.18229814,1.0003446,0.33627164
attn_0_0_outputs,4,-5.988958,-3.3725498,-0.3412084,2.2098095,5.3102603
attn_0_0_outputs,</s>,-0.27807033,0.97622854,0.78391606,-0.05810873,-0.5417477
attn_0_0_outputs,<pad>,-0.080401026,-0.3505043,0.14002737,0.5252953,0.67514
attn_0_0_outputs,<s>,-2.66762,-2.5018513,-0.96754,1.4334053,3.8984852
attn_0_0_outputs,_,-0.5439943,-0.3611994,0.11644834,0.51626354,0.030953465
attn_0_0_outputs,_,-0.37701827,0.67772126,-0.6758439,0.13799278,-0.09472996
attn_0_0_outputs,_,-0.45323807,-0.22663261,0.11455314,-0.03749324,-0.29565027
attn_0_0_outputs,_,-0.19412233,-0.2077506,0.49173078,-0.10352814,0.16637106
attn_0_0_outputs,_,-0.009174239,-0.04425219,-0.8110047,-0.1258116,0.121880874
attn_0_0_outputs,_,-0.5136196,-0.48321843,0.71802825,-0.08053331,0.49221608
attn_0_0_outputs,_,0.17037137,0.39065242,-1.0749692,0.39029685,0.10670029
attn_0_0_outputs,_,0.21445996,0.039219607,0.029299293,0.20100322,0.14881717
attn_0_0_outputs,_,0.28235584,-0.31978926,-0.24927497,-0.23828733,-1.2200841
attn_0_0_outputs,_,-0.41405478,0.18878977,0.23802328,0.25618106,0.40687326
attn_0_0_outputs,_,-0.31090018,0.97006065,0.122057766,-0.25790974,-0.0032007245
attn_0_0_outputs,_,-0.30686337,0.6846895,-0.39831918,-0.061775528,-0.3970043
attn_0_0_outputs,_,0.14491901,0.67662686,-0.43655828,0.42393267,1.065998
attn_0_0_outputs,_,-0.002276389,0.113936245,0.41976404,0.75499856,-0.21663965
attn_0_0_outputs,_,-0.08868796,0.70473576,0.36089095,1.1128263,-0.019592188
attn_0_0_outputs,_,-0.2568948,0.55319333,0.6090482,0.043205414,0.33770564
attn_0_0_outputs,_,0.60473347,-0.24976595,-0.18635172,-0.39473337,0.075397775
attn_0_0_outputs,_,-0.58315265,0.97753423,-0.33731854,0.43456936,0.41707954
attn_0_0_outputs,_,-0.15680754,-0.4911593,0.21291128,0.11888077,-0.11640351
attn_0_0_outputs,_,-0.2239271,-0.40799463,-0.17385183,0.9832792,0.15092243
attn_0_0_outputs,_,0.34288952,0.4309576,0.6548272,0.14103594,0.30695623
attn_0_0_outputs,_,-1.018832,-0.6601428,1.2211891,-0.17220853,-0.292524
attn_0_0_outputs,_,0.41369548,-0.45076734,0.26120368,0.64017993,-0.63477385
attn_0_0_outputs,_,-0.05026069,0.8645903,0.1569291,0.16741075,0.07085225
attn_0_0_outputs,_,-0.19880715,0.41253698,0.5756828,0.65451944,-0.2234441
attn_0_0_outputs,_,-0.5392708,-0.0043350086,-0.55479765,-0.115200035,-0.4007691
attn_0_0_outputs,_,0.49905857,0.28107288,-0.2091375,-0.83395714,-0.37649208
