feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.9911297,0.42034036,0.19750015,0.34152433,0.5354362,0.37382188,-0.7565827
attn_0_0_outputs,1,0.6945606,-1.767673,0.32396457,0.4315038,0.64736587,0.306414,0.12110639
attn_0_0_outputs,2,0.45281896,0.21033174,-1.5877744,0.35645926,0.29043803,0.35351914,-0.1753902
attn_0_0_outputs,3,0.52631396,0.37739378,0.232397,-1.6941583,0.7245097,0.38120332,0.12160123
attn_0_0_outputs,4,0.4898936,0.5443198,0.3133273,0.7057616,-1.2361704,0.5592739,-0.03785184
attn_0_0_outputs,5,0.8469433,0.47942293,0.4956903,0.7939841,0.7772757,-1.5923791,0.36976102
attn_0_0_outputs,<pad>,0.36655286,-0.5591548,-0.34298897,0.29411945,0.12220781,0.30135775,0.95006835
attn_0_0_outputs,<s>,0.60467273,0.032623895,0.07419832,0.007951395,0.18896672,-0.1619909,0.3880984
attn_0_1_outputs,0,-0.4619346,0.64930713,0.52534,-0.68408406,-0.31420052,1.6699705,-0.6548732
attn_0_1_outputs,1,0.4398332,-0.38659137,-0.02121017,-0.16196547,-0.0901877,0.50395864,-0.33260348
attn_0_1_outputs,2,0.17230912,0.16508457,-0.9071735,0.13382356,-0.17716125,0.34874088,0.4244191
attn_0_1_outputs,3,0.78814036,0.5032516,0.16363108,-0.44456664,0.06704074,0.6753842,-0.17159365
attn_0_1_outputs,4,-0.6146932,-0.3197999,0.29554287,-0.34252003,0.74107486,-1.2720913,-0.3939708
attn_0_1_outputs,5,-0.4039501,0.21227022,0.18498789,-0.019043433,-0.0935758,0.09254306,0.27955002
attn_0_1_outputs,<pad>,0.11484628,-0.2875384,0.19694495,-0.3419361,0.5002445,-0.19304943,0.6450562
attn_0_1_outputs,<s>,-0.18022263,0.75205934,0.035276383,0.22323392,-4.507847,0.93395334,2.2124681
attn_0_2_outputs,0,1.8620081,-0.37504697,0.0060586394,-0.020525206,0.053300027,-0.19108759,-1.4553689
attn_0_2_outputs,1,-0.912432,1.3808256,-0.67845976,-0.6008563,-0.6521424,-0.6533058,-0.05715958
attn_0_2_outputs,2,-0.31839702,-0.2530898,1.9370742,-0.22356175,-0.124509335,-0.5163093,0.25668135
attn_0_2_outputs,3,-0.42204186,-0.30423892,-0.23833272,1.8549516,-0.38016984,-0.49529034,0.43316635
attn_0_2_outputs,4,-0.26672918,-0.5547469,-0.25724265,-0.30389842,1.8624961,-0.47037002,-0.03455733
attn_0_2_outputs,5,-0.3610085,-0.25963393,-0.29273883,-0.4573941,-0.16745447,1.8162317,0.6783711
attn_0_2_outputs,<pad>,-0.9861438,-0.014029324,-0.04691792,0.43483433,0.13707893,-0.089859515,0.3219397
attn_0_2_outputs,<s>,-0.4785681,-0.062046308,0.07625613,0.21628937,-0.0013801366,-0.0017225269,0.2985601
attn_0_3_outputs,0,-0.6941668,0.4364851,0.42851943,0.7535638,0.6741486,0.48587355,-2.0773542
attn_0_3_outputs,1,-0.4051796,-0.2881329,0.26183948,-0.6155235,0.613077,0.096435934,0.059393194
attn_0_3_outputs,2,-0.030934656,0.26526952,-1.1045705,0.8728493,0.34542152,0.2769314,-0.1790194
attn_0_3_outputs,3,-0.15525177,0.31156003,0.39435315,-0.43485656,0.6107188,0.40695694,0.29281825
attn_0_3_outputs,4,-0.14201301,0.38876906,0.022772904,0.7750982,-0.516332,0.38499275,0.25259677
attn_0_3_outputs,5,0.30381644,-0.20021011,0.63208175,-0.45251778,0.74518985,0.38908324,0.79620606
attn_0_3_outputs,<pad>,-0.42206547,0.11508619,-0.95053935,0.14981692,-0.09376418,0.02619033,-0.3237296
attn_0_3_outputs,<s>,-0.35309738,-0.37385297,0.5648671,2.0670903,-1.2359805,0.14738429,0.9647383
attn_0_4_outputs,0,0.18530278,0.26671836,0.6109821,0.59718466,0.21387583,0.17641573,-1.4522609
attn_0_4_outputs,1,0.007657872,-0.38983586,0.22402447,-0.30024177,0.08588118,0.023200944,0.3513515
attn_0_4_outputs,2,0.2150178,0.57233614,-1.2094595,0.24755293,0.38701716,0.6136095,0.26756024
attn_0_4_outputs,3,0.12429725,-0.035318684,0.5255741,-0.19316542,-0.027271302,-0.091749854,0.18878071
attn_0_4_outputs,4,-0.112704486,0.24507186,0.04516683,0.26612306,0.17179133,0.021829905,0.285484
attn_0_4_outputs,5,-0.025830187,0.2005923,0.35545656,-0.07212705,-0.021692956,-0.43878496,0.27470857
attn_0_4_outputs,<pad>,-0.5049484,-0.43176964,-0.2433118,-0.054729126,-0.05253898,-0.22985993,0.056757458
attn_0_4_outputs,<s>,0.24201466,0.14892057,0.5932808,0.9840838,0.09246531,0.10879878,0.609276
