feature,value,0,1,2,3,4
attn_0_0_outputs,0,1.9627651,-1.4015491,-0.35386637,-1.2571633,-0.77106994
attn_0_0_outputs,1,1.0954635,7.4077644,-7.319466,-7.1697845,-6.5764036
attn_0_0_outputs,2,-2.8348076,-5.515256,3.471434,1.1325681,0.9511975
attn_0_0_outputs,3,-0.9420395,-1.9103869,0.44338542,0.7266215,1.4550358
attn_0_0_outputs,4,-1.9008176,-3.787903,-0.578076,0.6574953,3.6676626
attn_0_0_outputs,</s>,-0.029826164,-0.2568352,0.3773529,-0.033735007,-0.216935
attn_0_0_outputs,<pad>,-0.06584173,-0.10114684,-0.26241365,-0.49235085,0.9852878
attn_0_0_outputs,<s>,-0.14707312,-3.029721,0.14387895,1.5866219,1.9184959
attn_0_1_outputs,0,0.7300898,2.2272255,-0.13029537,-1.4510334,-3.2720997
attn_0_1_outputs,1,6.6485023,6.9409685,0.8597058,-5.449106,-12.087946
attn_0_1_outputs,2,-0.1667525,0.071266726,3.5598016,-1.2971349,-5.609714
attn_0_1_outputs,3,-2.6340976,-2.7476978,0.042351633,3.6865833,-0.9665462
attn_0_1_outputs,4,-5.41489,-5.3889766,-2.1681633,2.1403255,6.4892244
attn_0_1_outputs,</s>,-3.1260626,-7.3579574,-4.2974243,2.264666,11.026083
attn_0_1_outputs,<pad>,0.26321,-0.33106646,0.1763357,0.9096283,0.6102424
attn_0_1_outputs,<s>,-3.4528816,-5.897442,-3.5818212,1.367825,11.284825
attn_0_2_outputs,0,11.878507,0.09337593,-6.5200872,-10.227792,-15.972459
attn_0_2_outputs,1,-2.173558,1.6197782,1.3247583,2.3057523,-1.8376422
attn_0_2_outputs,2,4.7058616,-0.907411,-0.20766321,-2.0264587,-3.1786401
attn_0_2_outputs,3,-7.160526,0.5642377,1.7444232,3.8687963,-6.021585
attn_0_2_outputs,4,-18.951534,-9.544562,-5.2273426,-1.1998837,11.901212
attn_0_2_outputs,</s>,-0.38709518,0.26796448,0.5156107,0.22455789,0.08538993
attn_0_2_outputs,<pad>,-0.17433505,-0.4368999,0.12733689,-0.5703356,0.3985556
attn_0_2_outputs,<s>,-5.6206794,2.4138243,3.0553854,0.12124896,-6.134913
attn_0_3_outputs,0,7.6556087,1.2692012,-3.5886116,-7.2740655,-10.167954
attn_0_3_outputs,1,1.2443187,5.5562577,0.46007124,-3.4446993,-6.1279616
attn_0_3_outputs,2,-4.412932,-0.57897395,3.8889542,-0.24565248,-2.3382514
attn_0_3_outputs,3,-9.183061,-5.1484437,-0.81533414,4.4661407,1.8226273
attn_0_3_outputs,4,-10.538336,-6.73693,-2.627583,2.428919,9.177086
attn_0_3_outputs,</s>,-4.058585,-2.2943087,-0.6149104,3.6558924,5.865072
